USER_ID,USERNAME,PASSWORD_HASH,ROLE,EMAIL
57,adjuster40,$2a$10$hash0057,Adjuster,adjuster40@example.com
58,manager9,$2a$10$hash0058,Manager,manager9@example.com
59,supervisor9,$2a$10$hash0059,Supervisor,supervisor9@example.com
60,adjuster41,$2a$10$hash0060,Adjuster,adjuster41@example.com
61,adjuster42,$2a$10$hash0061,Adjuster,adjuster42@example.com
62,adjuster43,$2a$10$hash0062,Adjuster,adjuster43@example.com
63,adjuster44,$2a$10$hash0063,Adjuster,adjuster44@example.com
64,adjuster45,$2a$10$hash0064,Adjuster,adjuster45@example.com
65,manager10,$2a$10$hash0065,Manager,manager10@example.com
66,supervisor10,$2a$10$hash0066,Supervisor,supervisor10@example.com
67,adjuster46,$2a$10$hash0067,Adjuster,adjuster46@example.com
68,adjuster47,$2a$10$hash0068,Adjuster,adjuster47@example.com
69,adjuster48,$2a$10$hash0069,Adjuster,adjuster48@example.com
70,adjuster49,$2a$10$hash0070,Adjuster,adjuster49@example.com
71,adjuster50,$2a$10$hash0071,Adjuster,adjuster50@example.com
72,manager11,$2a$10$hash0072,Manager,manager11@example.com
73,supervisor11,$2a$10$hash0073,Supervisor,supervisor11@example.com
74,adjuster51,$2a$10$hash0074,Adjuster,adjuster51@example.com
75,adjuster52,$2a$10$hash0075,Adjuster,adjuster52@example.com
76,adjuster53,$2a$10$hash0076,Adjuster,adjuster53@example.com
77,adjuster54,$2a$10$hash0077,Adjuster,adjuster54@example.com
78,adjuster55,$2a$10$hash0078,Adjuster,adjuster55@example.com
79,manager12,$2a$10$hash0079,Manager,manager12@example.com
80,supervisor12,$2a$10$hash0080,Supervisor,supervisor12@example.com
81,adjuster56,$2a$10$hash0081,Adjuster,adjuster56@example.com
82,adjuster57,$2a$10$hash0082,Adjuster,adjuster57@example.com
83,adjuster58,$2a$10$hash0083,Adjuster,adjuster58@example.com
84,adjuster59,$2a$10$hash0084,Adjuster,adjuster59@example.com
85,adjuster60,$2a$10$hash0085,Adjuster,adjuster60@example.com
86,manager13,$2a$10$hash0086,Manager,manager13@example.com
87,supervisor13,$2a$10$hash0087,Supervisor,supervisor13@example.com
88,adjuster61,$2a$10$hash0088,Adjuster,adjuster61@example.com
89,adjuster62,$2a$10$hash0089,Adjuster,adjuster62@example.com
90,adjuster63,$2a$10$hash0090,Adjuster,adjuster63@example.com
91,adjuster64,$2a$10$hash0091,Adjuster,adjuster64@example.com
92,adjuster65,$2a$10$hash0092,Adjuster,adjuster65@example.com
93,manager14,$2a$10$hash0093,Manager,manager14@example.com
94,supervisor14,$2a$10$hash0094,Supervisor,supervisor14@example.com
95,adjuster66,$2a$10$hash0095,Adjuster,adjuster66@example.com
96,adjuster67,$2a$10$hash0096,Adjuster,adjuster67@example.com
97,adjuster68,$2a$10$hash0097,Adjuster,adjuster68@example.com
98,adjuster69,$2a$10$hash0098,Adjuster,adjuster69@example.com
99,adjuster70,$2a$10$hash0099,Adjuster,adjuster70@example.com
100,manager15,$2a$10$hash0100,Manager,manager15@example.com
